,id,n_victimas,fecha,hora,hh,dirección normalizada,tipo_de_calle,comuna,pos x,pos y,victima,acusado
0,2016-0001,1,2016-01-01,04:00:00,4.0,"piedra buena av. y fernandez de la cruz, f., gral. av.",avenida,8,-58.47533969,-34.68757022,moto,auto
1,2016-0002,1,2016-01-02,01:15:00,1.0,"paz, gral. av. y de los corrales av.",gral paz,9,-58.50877521,-34.66977709,auto,pasajeros
2,2016-0003,1,2016-01-03,07:00:00,7.0,entre rios av. 2034,avenida,1,-58.39040293,-34.63189362,moto,auto
3,2016-0004,1,2016-01-10,00:00:00,0.0,"larrazabal av. y villegas, conrado, gral.",avenida,8,-58.46503904,-34.68092974,moto,
4,2016-0005,1,2016-01-21,05:20:00,5.0,"san juan av. y saenz peña, luis, pres.",avenida,1,-58.38718297,-34.6224663,moto,pasajeros
5,2016-0008,1,2016-01-24,18:30:00,18.0,27 de febrero av. y escalada av.,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo
6,2016-0009,1,2016-01-24,19:10:00,19.0,"nogoya y gonzalez, joaquin v.",calle,11,-58.50095869,-34.6082544,moto,auto
7,2016-0010,1,2016-01-29,15:20:00,15.0,"paz, gral. av. y de los corrales av.",gral paz,9,-58.50877521,-34.66977709,moto,auto
8,2016-0012,1,2016-02-08,01:20:00,1.0,"belgrano av. e irigoyen, bernardo de",avenida,1,-58.38048577,-34.61303893,moto,cargas
9,2016-0013,1,2016-02-10,11:30:00,11.0,entre rios av. 1366,avenida,1,-58.39114932,-34.62477387,peaton,auto
10,2016-0015,1,2016-02-14,05:14:00,5.0,"scalabrini ortiz, raul av. y vera",avenida,15,-58.4376002,-34.59912758,peaton,auto
11,2016-0016,1,2016-02-14,22:00:00,22.0,"regimiento de patricios av. y quinquela martin, benito",avenida,4,-58.36882665,-34.64291993,moto,auto
12,2016-0017,1,2016-02-15,16:54:00,16.0,"acosta, mariano y janer, ana maria",avenida,8,-58.44989671,-34.65970435,peaton,moto
13,2016-0019,1,2016-02-17,09:30:00,9.0,"de la torre, lisandro y garcia grande de zequeira, severo",calle,9,-58.50990884,-34.65468721,peaton,pasajeros
14,2016-0020,1,2016-02-17,16:00:00,16.0,suipacha 156,calle,1,-58.37952223,-34.60653282,peaton,auto
15,2016-0021,1,2016-02-17,23:35:00,23.0,directorio av. y curapaligue,avenida,7,-58.45157703,-34.63063795,auto,auto
16,2016-0022,1,2016-02-21,06:00:00,6.0,"9 de julio av. y alsina, adolfo",avenida,1,-58.38144696,-34.61079875,moto,auto
17,2016-0025,1,2016-02-28,04:50:00,4.0,"paz, gral. av. y 27 de febrero av.",gral paz,8,-58.46244952,-34.70524971,auto,auto
18,2016-0026,1,2016-02-28,07:30:00,7.0,holmberg y vedia,calle,12,-58.49216191,-34.54738649,auto,objeto fijo
19,2016-0027,1,2016-02-28,09:35:00,9.0,"curapaligue av. y diaz, avelino",avenida,7,-58.44497874,-34.63852623,auto,auto
20,2016-0028,1,2016-03-02,10:00:00,10.0,viamonte y 9 de julio av.,avenida,1,-58.38199706,-34.60028648,peaton,cargas
21,2016-0029,1,2016-03-04,17:30:00,17.0,cabildo av. y deheza,avenida,12,-58.47378664,-34.54153077,peaton,pasajeros
22,2016-0031,1,2016-03-08,12:30:00,12.0,"paz, gral. av. y roca, cnel. av.",gral paz,8,-58.47064556,-34.69843756,moto,pasajeros
23,2016-0034,1,2016-03-12,12:30:00,12.0,"alcorta, amancio av. y bonavena, oscar natalio",avenida,4,-58.40623949,-34.65076549,peaton,pasajeros
24,2016-0035,1,2016-03-13,06:00:00,6.0,corrientes av. y callao av.,avenida,3,-58.39228965,-34.60443527,moto,pasajeros
25,2016-0036,1,2016-03-14,00:15:00,0.0,"herrera y valle, aristobulo del",calle,4,-58.37813396,-34.63668504,moto,pasajeros
26,2016-0037,1,2016-03-19,11:00:00,11.0,lafuente av. y quirno,avenida,7,-58.46275892,-34.64358293,moto,moto
27,2016-0038,1,2016-03-21,08:06:00,8.0,"paz, gral. av. y zuviria",gral paz,8,-58.49683458,-34.67892743,peaton,pasajeros
28,2016-0039,1,2016-03-23,01:50:00,1.0,"mitre, bartolome y pueyrredon av.",avenida,3,-58.40603217,-34.6088396,moto,pasajeros
29,2016-0041,2,2016-03-29,11:00:00,11.0,directorio av. y rivera indarte av.,avenida,7,-58.4607655,-34.63350444,moto,cargas
30,2016-0043,1,2016-03-30,18:15:00,18.0,"dellepiane, luis, tte. gral. y murguiondo",avenida,8,-58.47832463,-34.67494416,peaton,cargas
31,2016-0044,1,2016-03-31,19:40:00,19.0,"moreno, jose maria av. y balbastro",avenida,7,-58.43213235,-34.63693953,moto,multiple
32,2016-0045,1,2016-04-11,10:25:00,10.0,"paz, gral. av. y del libertador av.",gral paz,13,-58.46743471,-34.53476874,moto,
33,2016-0047,1,2016-04-15,05:30:00,5.0,lima 1483,calle,1,-58.38247061,-34.62571878,peaton,pasajeros
34,2016-0048,1,2016-04-15,17:40:00,17.0,corrientes av. y dorrego av.,avenida,15,-58.44759966,-34.5917024,peaton,pasajeros
35,2016-0049,1,2016-04-17,00:00:00,0.0,autopista 1 sur presidente arturo frondizi,autopista,4,-58.37714647568196,-34.63657525428238,,
36,2016-0050,1,2016-04-19,09:50:00,9.0,"gordillo, timoteo y fernandez de la cruz, f., gral. av.",avenida,8,-58.47305463,-34.68550712,peaton,pasajeros
37,2016-0051,1,2016-04-20,04:00:00,4.0,"alcorta, amancio av. y bonavena, oscar natalio",avenida,4,-58.40623949,-34.65076549,moto,cargas
38,2016-0052,1,2016-04-20,20:00:00,20.0,,autopista,13,,,moto,
39,2016-0053,1,2016-04-22,09:30:00,9.0,triunvirato av. y olazabal av.,avenida,12,-58.4842918,-34.57558053,peaton,pasajeros
40,2016-0054,1,2016-04-23,21:00:00,21.0,"autopista dellepiane luis tte. gral. y paz, gral. av.",autopista,8,-58.48695354,-34.68795245,moto,moto
41,2016-0055,1,2016-04-25,20:30:00,20.0,"castilla, ramon, mariscal y figueroa alcorta, pres. av.",avenida,14,-58.40021959,-34.57964781,peaton,cargas
42,2016-0056,1,2016-04-26,04:45:00,4.0,"campos, luis m. av. 30",avenida,14,-58.42957885,-34.57660058,moto,objeto fijo
43,2016-0058,1,2016-05-04,14:00:00,14.0,lima 1471,calle,1,-58.38247542,-34.62556293,peaton,moto
44,2016-0059,1,2016-05-08,16:30:00,16.0,ciudadela y lima,calle,1,-58.38222219,-34.62728101,peaton,pasajeros
45,2016-0064,1,2016-05-14,18:11:00,18.0,"justo, juan b. av. y carrasco av.",avenida,10,-58.49485242,-34.62953445,peaton,pasajeros
46,2016-0065,1,2016-05-20,14:40:00,14.0,gaona av. y espinosa,avenida,6,-58.45227946,-34.61068024,peaton,auto
47,2016-0067,1,2016-05-21,17:00:00,17.0,"de la torre, lisandro y saraza",avenida,8,-58.48455411,-34.6751276,moto,pasajeros
48,2016-0068,1,2016-05-22,22:00:00,22.0,"figueroa alcorta, pres. av. y pueyrredon av.",avenida,2,-58.39056593,-34.58418569,moto,pasajeros
49,2016-0069,1,2016-05-23,03:30:00,3.0,entre rios av. y filiberto,avenida,3,-58.39118948,-34.62704273,auto,cargas
50,2016-0073,1,2016-06-11,15:00:00,15.0,"magariã‘os cervantes, a. 3900",calle,10,-58.49021952,-34.62025108,moto,cargas
51,2016-0074,1,2016-06-12,06:40:00,6.0,"paz, gral. av. y scapino, rodolfo",gral paz,8,-58.49896559,-34.67732118,auto,auto
52,2016-0075,1,2016-06-12,23:13:00,23.0,autopista dellepiane luis tte. gral. y miralla,autopista,8,-58.47461076,-34.66874679,peaton,auto
53,2016-0076,1,2016-06-13,16:20:00,16.0,san martin av. y camarones,avenida,15,-58.46210891,-34.60356211,peaton,pasajeros
54,2016-0077,1,2016-06-13,21:52:00,21.0,"peron, juan domingo, tte. general y alem, leandro n. av.",avenida,1,-58.3702777,-34.60536123,peaton,pasajeros
55,2016-0078,1,2016-06-13,23:01:00,23.0,belgrano av. y jujuy av.,avenida,3,-58.40491455,-34.6146383,moto,moto
56,2016-0079,1,2016-06-16,17:13:00,17.0,"del libertador av. y udaondo, guillermo av.",avenida,13,-58.45504154,-34.54864492,auto,auto
57,2016-0080,1,2016-06-18,06:42:00,6.0,"paz, gral. av. y rivadavia av.",gral paz,9,-58.52927982,-34.63931752,auto,
58,2016-0081,1,2016-06-22,07:42:00,7.0,"larralde, crisologo av. y machain",avenida,12,-58.4872106,-34.55904606,moto,auto
59,2016-0082,1,2016-06-27,18:24:00,18.0,la plata av. 2384,avenida,4,-58.42273092,-34.64228803,peaton,auto
60,2016-0083,1,2016-06-28,20:46:00,20.0,"alberdi, juan bautista av. y puan",avenida,6,-58.44788671,-34.62539009,peaton,moto
61,2016-0084,1,2016-06-29,22:00:00,22.0,"pellegrini, carlos y tucuman",calle,1,-58.38110563,-34.60135531,peaton,pasajeros
62,2016-0085,1,2016-06-29,22:00:00,22.0,"rabanal, francisco, intendente av. y erezcano",avenida,4,-58.42378834,-34.657341,moto,otro
63,2016-0086,1,2016-06-30,16:10:00,16.0,"olivera av. y falcon, ramon l.,cnel.",avenida,10,-58.48727942,-34.63652467,peaton,pasajeros
64,2016-0087,1,2016-07-02,00:10:00,0.0,autopista 1 sur presidente arturo frondizi y caseros av.,autopista,1,-58.37864583,-34.62907067,moto,objeto fijo
65,2016-0088,1,2016-07-11,15:30:00,15.0,ceretti y nuã‘ez,calle,12,-58.5015175,-34.56767549,peaton,auto
66,2016-0089,1,2016-07-14,06:40:00,6.0,"lugones, leopoldo av. y la pampa",autopista,13,-58.43233425,-34.55185825,peaton,auto
67,2016-0090,1,2016-07-14,22:00:00,22.0,"salguero, jeronimo y rivadavia av.",avenida,5,-58.41971993,-34.6111224,peaton,pasajeros
68,2016-0092,1,2016-07-15,11:00:00,11.0,"paz, gral. av. y del libertador av.",gral paz,13,-58.46743471,-34.53476874,moto,cargas
69,2016-0093,1,2016-07-17,03:30:00,3.0,"alberdi, juan bautista av. y mitre, emilio",avenida,6,-58.44362126,-34.62301748,auto,auto
70,2016-0095,1,2016-07-23,06:12:00,6.0,mercedes y mosconi general av.,avenida,11,-58.51713095,-34.59546519,moto,auto
71,2016-0096,1,2016-07-25,07:00:00,7.0,autopista dellepiane luis tte. gral.,autopista,8,-58.47433193007387,-34.66684950051973,moto,cargas
72,2016-0097,1,2016-07-26,18:45:00,18.0,solis y mexico,calle,1,-58.39038605,-34.6156281,peaton,auto
73,2016-0098,1,2016-07-27,16:08:00,16.0,san juan av. y alberti,avenida,3,-58.40042405,-34.62356174,moto,cargas
74,2016-0099,1,2016-07-29,16:00:00,16.0,"mosconi general av. y paz, gral. av.",gral paz,11,-58.52340614,-34.59798754,cargas,cargas
75,2016-0100,1,2016-08-03,23:27:00,23.0,"paz, gral. av. y donado",gral paz,12,-58.49491054,-34.54795581,moto,objeto fijo
76,2016-0101,1,2016-08-07,19:42:00,19.0,"paz, gral. av. y chavez, jorge",gral paz,9,-58.52932872,-34.65014993,,
77,2016-0102,1,2016-08-10,23:37:00,23.0,"peron, eva av. y suarez, jose leon",avenida,9,-58.50011639,-34.67316502,moto,cargas
78,2016-0104,1,2016-08-14,21:15:00,21.0,zinny y santiago de compostela av.,avenida,9,-58.46635001,-34.65624369,moto,pasajeros
79,2016-0105,1,2016-08-17,00:05:00,0.0,"lacroze, federico av. y fraga",avenida,15,-58.45343236,-34.58435809,peaton,pasajeros
80,2016-0106,1,2016-08-19,21:02:00,21.0,"pellegrini, carlos y del libertador av.",avenida,1,-58.38090932,-34.58927731,peaton,pasajeros
81,2016-0107,1,2016-08-20,08:22:00,8.0,autopista 1 sur presidente arturo frondizi y don pedro de mendoza av.,autopista,4,-58.37157668,-34.65429986,moto,auto
82,2016-0109,1,2016-08-24,05:45:00,5.0,autopista perito moreno y barragan,autopista,9,-58.52280139,-34.63659934,auto,objeto fijo
83,2016-0110,1,2016-08-24,20:21:00,20.0,"alberdi, juan bautista av. y carhue",avenida,9,-58.51232237,-34.6590353,peaton,
84,2016-0111,1,2016-08-25,09:30:00,9.0,lugones y la pampa,autopista,15,-58.47461905,-34.57663634,moto,cargas
85,2016-0112,1,2016-08-27,04:40:00,4.0,autopista 25 de mayo y autopista 1 sur presidente arturo frondizi,autopista,1,-58.38268809,-34.62282019,moto,objeto fijo
86,2016-0113,1,2016-08-27,16:45:00,16.0,"alberdi, juan bautista av. y guardia nacional",avenida,9,-58.49603546,-34.64564271,peaton,pasajeros
87,2016-0114,1,2016-08-31,11:20:00,11.0,"salguero, jeronimo 1410",calle,14,-58.41848605,-34.59394733,bicicleta,cargas
88,2016-0115,1,2016-09-02,11:50:00,11.0,arias y tronador,calle,12,-58.48935041,-34.54917673,,cargas
89,2016-0116,1,2016-09-02,20:20:00,20.0,27 de febrero av. y escalada av.,avenida,8,-58.44451316,-34.68475866,moto,auto
90,2016-0117,1,2016-09-03,15:30:00,15.0,del libertador av. y tagle,avenida,14,-58.39936478,-34.58271474,auto,auto
91,2016-0118,1,2016-09-04,03:30:00,3.0,autopista 1 sur presidente arturo frondizi km. 2.9,autopista,1,-58.37936704,-34.62694503,auto,auto
92,2016-0119,1,2016-09-04,06:40:00,6.0,"larralde, crisologo av. y triunvirato av.",avenida,12,-58.49659234,-34.56353635,,
93,2016-0122,1,2016-09-13,07:10:00,7.0,"peron, eva av. 4233",avenida,9,-58.47256391,-34.65194557,bicicleta,pasajeros
94,2016-0123,1,2016-09-14,09:00:00,9.0,"asamblea av. y bonorino, esteban, cnel. av.",avenida,7,-58.45130953,-34.64053676,moto,auto
95,2016-0124,1,2016-09-16,15:24:00,15.0,rivadavia av. y rivera indarte av.,avenida,7,-58.46271207,-34.62884871,peaton,pasajeros
96,2016-0125,1,2016-09-17,12:14:00,12.0,"autopista perito moreno y alberdi, juan bautista av.",autopista,10,-58.49020869,-34.64243791,moto,moto
97,2016-0126,2,2016-09-18,22:45:00,22.0,irigoyen y tinogasta,calle,10,-58.52572109,-34.62125906,auto,cargas
98,2016-0127,1,2016-09-24,10:25:00,10.0,"acosta, mariano y roca, cnel. av.",avenida,8,-58.44094791,-34.66677111,peaton,pasajeros
99,2016-0128,1,2016-10-02,11:30:00,11.0,castro y pavon av.,avenida,5,-58.41914024,-34.6305389,peaton,pasajeros
100,2016-0130,1,2016-10-04,12:30:00,12.0,autopista 1 sur presidente arturo frondizi y brasil,autopista,1,-58.37910942,-34.62764717,moto,cargas
101,2016-0131,1,2016-10-09,19:13:00,19.0,mirave 3500,calle,4,-58.39871183,-34.64539318,peaton,auto
102,2016-0132,1,2016-10-10,02:30:00,2.0,san juan av. y 24 de noviembre,avenida,3,-58.41036975,-34.62477021,auto,pasajeros
103,2016-0133,1,2016-10-14,00:05:00,0.0,las heras general av. y sanchez de bustamante,avenida,14,-58.40204698,-34.5834269,moto,auto
104,2016-0134,1,2016-10-23,05:00:00,5.0,piedra buena av. y 2 de abril de 1982,avenida,8,-58.48935287,-34.67648597,moto,objeto fijo
105,2016-0135,1,2016-10-24,05:00:00,5.0,"figueroa alcorta, pres. av. y pinedo, int.",avenida,14,-58.42260225,-34.56403694,peaton,
106,2016-0136,1,2016-10-25,00:00:00,0.0,,autopista,4,,,moto,cargas
107,2016-0137,1,2016-10-25,00:39:00,0.0,san martin av. y ladines,avenida,11,-58.51537091,-34.59035925,moto,moto
108,2016-0138,1,2016-10-27,20:30:00,20.0,cabildo av. y blanco encalada,avenida,13,-58.4590967,-34.55922742,bicicleta,cargas
109,2016-0139,1,2016-10-28,23:00:00,23.0,"figueroa alcorta, pres. av. y dorrego av.",avenida,14,-58.42008769,-34.56539579,moto,moto
110,2016-0140,1,2016-10-31,02:58:00,2.0,juramento av. y vuelta de obligado,avenida,13,-58.45566399,-34.56147293,pasajeros,pasajeros
111,2016-0142,1,2016-11-05,23:30:00,23.0,"del libertador av. y ramos mejia, jose maria, dr. av.",avenida,1,-58.37533517,-34.59276462,moto,pasajeros
112,2016-0143,1,2016-11-06,04:41:00,4.0,27 de febrero av. y escalada av.,avenida,8,-58.44451316,-34.68475866,moto,
113,2016-0144,1,2016-11-07,12:10:00,12.0,"brown, alte. av. 984",avenida,4,-58.35975012,-34.63343907,peaton,pasajeros
114,2016-0145,1,2016-11-07,20:56:00,20.0,del libertador av. y la pampa,avenida,13,-58.44523595,-34.55953855,moto,auto
115,2016-0146,1,2016-11-09,20:00:00,20.0,pichincha av. y brasil,avenida,4,-58.39626094,-34.63036565,peaton,pasajeros
116,2016-0147,1,2016-11-16,21:15:00,21.0,"independencia av. y cevallos, virrey",avenida,1,-58.38896772,-34.61799615,movil,pasajeros
117,2016-0148,1,2016-11-16,22:20:00,22.0,garmendia av. 4895,avenida,15,-58.46536113,-34.59484504,moto,moto
118,2016-0150,1,2016-11-18,18:20:00,18.0,"alcorta, amancio av. y taborda, diogenes",avenida,4,-58.40879146,-34.65273216,cargas,cargas
119,2016-0151,1,2016-11-18,20:35:00,20.0,,calle,0,,,peaton,
120,2016-0152,1,2016-11-23,21:10:00,21.0,"moreno, perito av. y zuviria",avenida,7,-58.46451841,-34.64991946,moto,auto
121,2016-0153,1,2016-11-25,15:42:00,15.0,araoz y cordoba av.,avenida,15,-58.4291709,-34.59485488,peaton,moto
122,2016-0154,1,2016-11-26,14:14:00,14.0,"paz, gral. av. 15200",gral paz,8,-58.49007772,-34.68251141,moto,moto
123,2016-0155,1,2016-11-26,16:50:00,16.0,madero 900,calle,10,-58.52756365,-34.62772274,peaton,auto
124,2016-0156,1,2016-11-26,19:40:00,19.0,independencia av. y dean funes,avenida,3,-58.40638983,-34.61943202,moto,pasajeros
125,2016-0157,1,2016-12-03,06:40:00,6.0,"justo, juan b. av. 5645",avenida,11,-58.47576807,-34.61740997,moto,moto
126,2016-0159,1,2016-12-04,07:21:00,7.0,27 de febrero av. y escalada av.,avenida,8,-58.44451316,-34.68475866,auto,
127,2016-0160,1,2016-12-06,05:30:00,5.0,autopista perito moreno (altura velez sarsfield),autopista,9,-58.51927194,-34.63635787,cargas,objeto fijo
128,2016-0161,1,2016-12-06,07:22:00,7.0,santa fe av. y godoy cruz,avenida,14,-58.42525456,-34.57866344,peaton,pasajeros
129,2016-0162,1,2016-12-07,05:00:00,5.0,"lacroze, federico av. y forest av.",avenida,15,-58.45396573,-34.58518167,peaton,auto
130,2016-0163,1,2016-12-10,07:30:00,7.0,"paz, gral. av. y mosconi general av.",gral paz,11,-58.52340614,-34.59798754,moto,auto
131,2016-0164,1,2016-12-11,06:16:00,6.0,"la plata av. y pomar, gregorio tte. cnel.",avenida,4,-58.42323628,-34.64119105,auto,auto
132,2016-0165,1,2016-12-12,08:25:00,8.0,"garcia, martin av. 300",avenida,4,-58.36926144,-34.62841919,bicicleta,pasajeros
133,2016-0168,1,2016-12-13,10:40:00,10.0,"la plata av. y pomar, gregorio tte. cnel.",avenida,4,-58.42323628,-34.64119105,moto,auto
134,2016-0169,1,2016-12-15,15:30:00,15.0,"nuã‘ez y balbin, ricardo, dr. av.",avenida,12,-58.47935434,-34.55676497,moto,pasajeros
135,2016-0170,1,2016-12-19,17:10:00,17.0,"paz, gral. av. 4500",gral paz,12,-58.50598256,-34.5637998,moto,auto
136,2016-0171,1,2016-12-25,19:00:00,19.0,"huergo, ing. av. y autopista 25 de mayo",autopista,1,-58.36607137,-34.62150748,moto,moto
137,2016-0172,1,2016-12-26,08:00:00,8.0,"garay, juan de av. y castro",avenida,5,-58.41918902,-34.63174259,moto,cargas
138,2016-0173,1,2016-12-26,19:52:00,19.0,directorio av. y san pedrito av.,avenida,7,-58.46749188,-34.63551751,moto,cargas
139,2016-0174,1,2016-12-27,00:00:00,0.0,autopista 25 de mayo,autopista,0,,,,
140,2016-0175,1,2016-12-27,08:15:00,8.0,"falcon, ramon l.,cnel. y membrillar",calle,7,-58.46064174,-34.62960517,peaton,bicicleta
141,2016-0176,1,2016-12-28,01:41:00,1.0,belgrano av. y paseo colon av.,avenida,1,-58.36956186,-34.61232875,moto,pasajeros
142,2016-0177,1,2016-12-29,04:00:00,4.0,arenales 3319,calle,14,-58.40966671,-34.58788235,peaton,auto
143,2016-0178,1,2016-12-30,16:18:00,16.0,republica bolivariana de venezuela y saavedra,calle,3,-58.40288226,-34.61544091,peaton,multiple
144,2017-0001,1,2017-01-02,01:00:00,1.0,"justo, juan b. av. y achupallas",avenida,11,-58.4659423,-34.61028571,moto,cargas
145,2017-0003,1,2017-01-05,03:10:00,3.0,olavarria y velez sarsfield av.,avenida,4,-58.38957669,-34.64410277,cargas,cargas
146,2017-0007,1,2017-01-11,17:00:00,17.0,lima y mexico,calle,1,-58.3816166,-34.61529543,peaton,multiple
147,2017-0008,1,2017-01-16,00:40:00,0.0,"cabrera, jose a. y bonpland",calle,14,-58.43917004,-34.58494351,moto,pasajeros
148,2017-0009,1,2017-01-16,13:56:00,13.0,autopista 25 de mayo y boedo av.,autopista,5,-58.41595919,-34.62743346,moto,cargas
149,2017-0010,1,2017-01-16,16:30:00,16.0,directorio av. y riglos,avenida,6,-58.4356488,-34.62828656,moto,auto
150,2017-0011,1,2017-01-22,02:30:00,2.0,"paz, gral. av. y balbin, ricardo, dr. av.",gral paz,12,-58.5007381,-34.5497951,moto,objeto fijo
151,2017-0012,1,2017-01-24,14:00:00,14.0,"traful y taborda, diogenes",calle,4,-58.40969005,-34.6505529,moto,cargas
152,2017-0013,1,2017-01-27,07:00:00,7.0,"iriarte, gral. av. 3055",avenida,4,-58.38972622,-34.65098981,peaton,cargas
153,2017-0014,1,2017-01-28,08:27:34,8.0,donado y arias,avenida,12,-58.49185972,-34.55046754,moto,multiple
154,2017-0015,1,2017-02-02,15:18:03,15.0,cordoba av. y callao av.,avenida,2,-58.39293417,-34.59963642,peaton,auto
155,2017-0016,1,2017-02-03,05:12:21,5.0,autopista 25 de mayo km. 8.3,autopista,1,-58.38099494,-34.62288231,moto,cargas
156,2017-0017,1,2017-02-06,08:00:00,8.0,"justo, juan b. av. y paraguay",avenida,14,-58.429012,-34.58095431,moto,auto
157,2017-0018,1,2017-02-09,07:00:00,7.0,"paz, gral. av. y de los corrales av.",gral paz,9,-58.50877521,-34.66977709,moto,auto
158,2017-0021,1,2017-02-18,05:30:00,5.0,sarmiento y libertad,calle,1,-58.38362373,-34.60509972,moto,pasajeros
159,2017-0024,1,2017-02-23,20:50:00,20.0,rivadavia av. 7121,avenida,7,-58.46589308,-34.62955795,peaton,pasajeros
160,2017-0025,1,2017-02-24,17:05:00,17.0,"fernandez de la cruz, f., gral. av. y rivera indarte av.",avenida,7,-58.43614426,-34.6542464,moto,
161,2017-0026,2,2017-02-26,05:15:00,5.0,"moreno, perito av. y fournier",avenida,4,-58.41842777,-34.64979057,auto,objeto fijo
162,2017-0027,1,2017-02-26,21:57:00,21.0,caseros av. 1429,avenida,1,-58.38332245,-34.6319325,peaton,auto
163,2017-0028,1,2017-02-28,09:20:00,9.0,gaona av. y fragata pres. sarmiento,avenida,6,-58.45475488,-34.61196327,peaton,auto
164,2017-0029,1,2017-03-07,02:15:00,2.0,mozart y tandil,calle,9,-58.48501341,-34.64742455,,auto
165,2017-0030,1,2017-03-07,08:00:00,8.0,mozart y autopista dellepiane luis tte. gral.,avenida,9,-58.47010988,-34.65872088,auto,pasajeros
166,2017-0031,1,2017-03-11,01:30:00,1.0,24 de noviembre y pavon,calle,3,-58.4099756,-34.62873635,auto,objeto fijo
167,2017-0032,1,2017-03-12,05:00:00,5.0,"paz, gral. av. y los cedros",gral paz,8,-58.48892175,-34.68359163,auto,auto
168,2017-0033,1,2017-03-12,07:30:00,7.0,"paz, gral. av. y gutierrez, ricardo",gral paz,11,-58.52466448,-34.60325478,auto,auto
169,2017-0034,1,2017-03-13,07:50:00,7.0,godoy cruz 2651,calle,14,-58.42554218,-34.57929036,peaton,auto
170,2017-0035,3,2017-03-23,05:00:00,5.0,"achaval rodriguez, t., dr. av. y villaflor, azucena",avenida,1,-58.35881506,-34.61113641,auto,objeto fijo
171,2017-0036,2,2017-03-29,18:00:00,18.0,"paz, gral. av. y campana",gral paz,12,-58.51452347,-34.58159762,moto,pasajeros
172,2017-0037,1,2017-03-31,03:00:00,3.0,"independencia av. y cevallos, virrey",avenida,1,-58.38896772,-34.61799615,moto,cargas
